EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
391,52,Male,Sales,Human Resources,17916,3,2,10,0,No,Yes
392,31,Female,Sales,Sales Executive,10083,3,2,3,9,Yes,No
393,40,Male,Research & Development,Human Resources,12223,4,2,12,1,No,No
394,53,Female,Research & Development,Laboratory Technician,7940,2,3,6,5,No,No
395,22,Female,Human Resources,Research Scientist,6456,4,2,3,1,Yes,No
396,26,Female,Sales,Laboratory Technician,10788,2,1,14,2,Yes,No
397,25,Male,Research & Development,Manager,5711,2,1,18,3,Yes,No
398,37,Male,Research & Development,Human Resources,14280,4,3,8,4,No,No
399,45,Male,Sales,Human Resources,19531,4,4,10,8,No,No
400,37,Female,Human Resources,Human Resources,15089,2,3,7,3,Yes,No
401,23,Male,Sales,Laboratory Technician,13142,4,4,0,8,Yes,No
402,49,Male,Human Resources,Manager,19749,2,2,7,9,No,No
403,53,Male,Research & Development,Research Scientist,18587,3,3,12,2,Yes,Yes
404,48,Female,Human Resources,Research Scientist,12866,4,1,3,7,Yes,No
405,41,Female,Research & Development,Laboratory Technician,7531,3,2,7,0,Yes,No
406,45,Male,Sales,Human Resources,15686,1,1,2,8,No,No
407,33,Male,Sales,Sales Executive,8330,3,2,8,8,No,Yes
408,56,Male,Sales,Laboratory Technician,8510,3,3,1,9,No,No
409,54,Male,Human Resources,Laboratory Technician,11964,2,4,1,1,No,No
410,54,Female,Research & Development,Manager,9493,3,2,12,3,No,Yes
411,58,Female,Sales,Research Scientist,13759,4,4,14,7,No,No
412,33,Female,Sales,Laboratory Technician,8439,2,2,11,6,Yes,No
413,24,Female,Research & Development,Laboratory Technician,17473,1,1,3,0,No,No
414,22,Male,Sales,Human Resources,12765,4,1,7,4,No,No
415,54,Male,Research & Development,Human Resources,16279,1,2,8,6,Yes,Yes
416,31,Male,Research & Development,Sales Executive,9511,3,4,4,3,No,No
417,50,Female,Research & Development,Manager,14483,4,3,19,0,No,Yes
418,34,Male,Research & Development,Sales Executive,5376,4,3,17,8,Yes,No
419,33,Female,Research & Development,Human Resources,14824,1,1,10,4,Yes,No
420,52,Female,Human Resources,Research Scientist,9979,4,3,14,1,Yes,No
421,23,Male,Sales,Human Resources,12832,4,1,8,7,No,Yes
422,56,Male,Human Resources,Manager,15504,4,3,16,1,Yes,No
423,44,Male,Sales,Human Resources,9910,3,2,11,2,No,No
424,38,Female,Human Resources,Manager,17089,1,1,6,9,No,No
425,47,Male,Research & Development,Manager,5196,4,1,9,0,No,No
426,29,Female,Sales,Manager,8978,2,2,9,1,No,No
427,50,Male,Sales,Manager,3780,2,1,12,6,Yes,No
428,47,Female,Human Resources,Manager,12908,2,3,18,9,Yes,No
429,31,Female,Human Resources,Research Scientist,9303,2,3,10,1,No,No
430,47,Male,Sales,Sales Executive,17686,3,1,12,5,Yes,Yes
431,55,Female,Human Resources,Laboratory Technician,6983,4,3,7,2,No,No
432,28,Female,Human Resources,Sales Executive,12503,1,4,7,3,No,No
433,25,Male,Human Resources,Manager,19905,4,1,3,7,No,No
434,32,Female,Research & Development,Research Scientist,16070,3,2,14,2,Yes,No
435,50,Male,Research & Development,Human Resources,15232,2,4,10,9,No,Yes
436,57,Female,Human Resources,Research Scientist,7583,3,1,10,5,No,No
437,46,Male,Human Resources,Manager,8946,4,2,0,0,Yes,Yes
438,42,Male,Research & Development,Research Scientist,19377,1,3,16,6,Yes,Yes
439,57,Female,Research & Development,Research Scientist,10128,3,2,14,7,Yes,No
440,31,Female,Sales,Manager,14889,1,4,19,7,Yes,Yes
441,58,Female,Sales,Research Scientist,15275,3,3,5,2,No,No
442,30,Female,Research & Development,Laboratory Technician,5461,1,1,14,9,Yes,Yes
443,45,Female,Human Resources,Laboratory Technician,17291,1,3,8,0,No,No
444,56,Male,Human Resources,Research Scientist,17036,2,1,13,8,Yes,No
445,56,Female,Human Resources,Human Resources,14435,1,1,17,5,Yes,No
446,57,Male,Human Resources,Manager,3685,2,2,16,8,Yes,No
447,39,Male,Sales,Laboratory Technician,15258,4,2,17,6,Yes,No
448,53,Female,Research & Development,Human Resources,18990,4,2,4,0,Yes,No
449,45,Male,Human Resources,Research Scientist,19422,2,4,19,0,Yes,No
450,44,Male,Sales,Human Resources,13736,2,4,19,5,No,No
451,53,Male,Human Resources,Sales Executive,7875,3,2,8,4,Yes,No
452,58,Male,Research & Development,Laboratory Technician,14182,3,4,10,8,Yes,No
453,33,Female,Sales,Research Scientist,5196,3,3,0,1,Yes,No
454,34,Male,Research & Development,Manager,10165,4,3,17,7,Yes,No
455,44,Female,Research & Development,Research Scientist,18997,3,4,5,4,No,No
456,46,Female,Sales,Manager,17215,1,4,1,1,Yes,No
457,56,Male,Sales,Research Scientist,3301,1,3,14,9,Yes,No
458,51,Female,Sales,Human Resources,17571,3,1,13,5,Yes,No
459,38,Female,Sales,Human Resources,12951,1,3,4,9,Yes,No
460,41,Female,Sales,Human Resources,13773,4,3,5,7,No,No
461,46,Male,Sales,Sales Executive,19140,1,4,5,3,Yes,No
462,43,Female,Sales,Manager,16057,4,3,17,1,No,Yes
463,34,Female,Human Resources,Human Resources,15500,2,4,13,4,Yes,No
464,40,Female,Research & Development,Sales Executive,18921,2,4,9,1,No,No
465,57,Male,Sales,Manager,14870,2,2,13,1,No,No
466,33,Female,Human Resources,Research Scientist,7082,2,3,12,5,Yes,No
467,40,Male,Human Resources,Sales Executive,16718,1,1,2,9,Yes,No
468,33,Male,Human Resources,Laboratory Technician,13517,3,2,5,8,No,No
469,30,Male,Research & Development,Sales Executive,6754,1,4,7,3,No,No
470,28,Male,Sales,Sales Executive,4724,4,4,11,5,Yes,No
471,49,Male,Human Resources,Manager,4376,1,1,12,6,No,No
472,35,Male,Research & Development,Research Scientist,11706,1,4,10,5,No,No
473,52,Female,Research & Development,Laboratory Technician,11894,4,3,11,7,No,No
474,40,Male,Research & Development,Human Resources,19406,2,2,0,3,Yes,No
475,37,Female,Human Resources,Human Resources,8926,2,4,16,0,No,No
476,26,Female,Sales,Sales Executive,9251,2,4,15,6,No,Yes
477,56,Male,Human Resources,Manager,12496,3,1,10,2,No,No
478,33,Female,Human Resources,Manager,6300,4,3,12,5,Yes,Yes
479,46,Female,Sales,Human Resources,11553,4,4,17,1,Yes,No
480,42,Female,Sales,Laboratory Technician,6727,1,1,10,8,No,No
481,57,Female,Sales,Research Scientist,19898,3,4,11,0,Yes,No
482,44,Male,Research & Development,Laboratory Technician,19832,2,1,5,5,No,No
483,37,Female,Sales,Research Scientist,9019,3,1,8,5,Yes,No
484,35,Male,Human Resources,Human Resources,18463,4,3,15,4,Yes,No
485,52,Female,Sales,Research Scientist,13047,4,4,3,4,No,No
486,26,Female,Human Resources,Manager,14754,1,3,2,0,Yes,No
487,56,Male,Research & Development,Sales Executive,5520,1,1,15,9,Yes,No
488,44,Female,Human Resources,Sales Executive,6081,4,2,11,4,Yes,No
489,50,Female,Human Resources,Human Resources,4428,2,4,10,1,No,No
490,32,Female,Sales,Manager,6967,2,2,4,6,Yes,No
491,39,Male,Sales,Laboratory Technician,9445,3,4,17,2,Yes,Yes
492,33,Female,Human Resources,Manager,17566,4,3,18,3,No,No
493,30,Male,Sales,Sales Executive,17042,4,3,5,2,Yes,No
494,31,Female,Research & Development,Sales Executive,14329,2,3,17,2,Yes,No
495,38,Male,Research & Development,Manager,5159,2,3,5,3,Yes,Yes
496,59,Male,Sales,Manager,8132,4,3,3,4,Yes,No
497,28,Female,Research & Development,Sales Executive,17933,1,2,11,0,Yes,Yes
498,34,Female,Sales,Laboratory Technician,13473,4,3,18,3,No,No
499,30,Male,Human Resources,Human Resources,13805,4,1,1,7,No,No
500,48,Male,Human Resources,Human Resources,6083,2,1,16,9,Yes,No
